text,label
"Recordatorio: 47 libros de la biblioteca aún no han sido devueltos del CEIP Antonio Machado, por favor revise en casa y devuélvalos para el viernes.",spain_school
"Familias del IES María de Zayas y Sotomayor: se requiere limpieza de archivos digitales antes del fin de curso, visiten el enlace para ver las instrucciones de salida de los alumnos de Bachillerato y FP.",spain_school
"Boletín semanal del Colegio Monte Tabor para la semana del 15 de marzo de 2025: emocionantes eventos de primavera próximamente para las familias.",spain_school
"Notificación de Alexia: Tarea 'Ensayo de Análisis de Personajes' calificada para la clase de Lengua de 1º de ESO en el IES Margarita Salas, comentarios de revisión disponibles.",spain_school
"Semana de Agradecimiento a los Profesores del 12 al 16 de marzo en el CEIP Benito Pérez Galdós: actividades temáticas diarias para mostrar gratitud al personal.",spain_school
"Los boletines de notas del IES Carlos Bousoño ya están disponibles en Roble, comuníquese con secretaría para obtener ayuda con el inicio de sesión.",spain_school
"Fiesta de fin de curso para recaudación de fondos esta noche en el CEIP Rosalía de Castro: juegos, puestos de comida y detalles de la rifa benéfica adjuntos.",spain_school
"Autorización para la visualización de fragmentos de la película Apolo 13 para alumnos de 2º de ESO en la asignatura de Tecnología en el IES Leonardo da Vinci.",spain_school
"Se requiere registro de acompañantes para el Día del Deporte 2025: la pulsera acreditativa es obligatoria para todos los padres voluntarios en el CEIP Santa Catalina.",spain_school
"Recordatorio: Prueba de evaluación diagnóstica de Matemáticas de 3º de Primaria mañana en el CEIP Francisco de Quevedo, asegúrese de que los alumnos descansen bien esta noche.",spain_school
"Oportunidad de prácticas: se necesitan alumnos ayudantes para el turno del taller de comedor y cocina en el IES María de Zayas para apoyar el buen funcionamiento de los servicios hoteleros.",spain_school
"Resultados de la valoración para el programa de Altas Capacidades (AACC) disponibles para alumnos de 1º a 5º de Primaria, decisiones de asignación finalizadas por la comisión del distrito.",spain_school
"Tareas de lectura de la novela del Club de Lectura obligatorias para hoy: capítulos 77 al 102 de Los Juegos del Hambre, consultad Alexia para más detalles.",spain_school
"Protocolo de acceso seguro activo en el IES Carlos Bousoño, no se permitirán visitas ni salidas anticipadas durante las pruebas de evaluación externa de 1º y 2º de ESO.",spain_school
"Matrícula anual para el curso escolar 2025-26 completada, los horarios de los alumnos estarán disponibles en las fechas de publicación durante el verano.",spain_school
"Información adjunta sobre la ruta del desfile de graduación de los alumnos de último año para las familias del CEIP El Tejar y los vecinos de la comunidad.",spain_school
"Solicitud del programa de Excelencia Educativa de la AMPA presentada por el CEIP San Pío X, un proyecto de colaboración para mejorar la comunidad escolar.",spain_school
"Confirmación de voluntariado para el control de la entrada por la mañana el martes de 8:00 a 8:30 en el CEIP Santa Catalina.",spain_school
"Se cancela la sesión de lectura y debate del libro 'La Generación Ansiosa' programada para esta noche, se pospone la reunión final de discusión para el martes 13 de mayo.",spain_school
"La consejería otorga al distrito educativo la calificación de 'Excelente'; elecciones locales mañana: ejerza su derecho al voto.",spain_school
"Recogida de datos para la encuesta sobre bebidas energéticas para el proyecto de Ciencias: completad el formulario a través del portal de la clase del profesor García.",spain_school
"Recordatorio del código de vestimenta para el clima de primavera en el IES Margarita Salas: consultad las pautas del reglamento de régimen interno.",spain_school
"Oportunidad de compra de un azulejo conmemorativo en el 'Paseo del Legado' para honrar el recuerdo de su hijo para siempre en el CEIP Rosalía de Castro.",spain_school
"Boletines de seguimiento del portal de educación disponibles para alumnos de 2º a 5º de Primaria, los informes de Infantil se distribuirán por separado.",spain_school
"Los equipos de golf se clasifican para los campeonatos autonómicos, actualización de deportes de primavera en el boletín mensual de atletismo disponible online.",spain_school
"Recordatorio de seguridad para la entrada de la mañana para las familias del IES Leonardo da Vinci: por favor, respetad las direcciones de tráfico señalizadas.",spain_school
"Calificada la entrega final de la escena de modelado 3D, los comentarios sobre el proyecto de iluminación y diseño urbano ya están disponibles en Canvas.",spain_school
"Enlace compartido del juego de repaso de matemáticas Kahoot para la preparación del examen: practicad los conceptos de geometría de la lección de hoy.",spain_school
"Solicitud pendiente del programa de colaboración con la AMPA nacional para la iniciativa de reconocimiento a la excelencia comunitaria del CEIP El Tejar.",spain_school
"Proyecto de guion gráfico para la película muda calificado en la clase de Artes Digitales: ya están disponibles los comentarios sobre técnicas narrativas creativas.",spain_school
"Entrega completada de la animación geométrica del cubo pulsante, notas de la evaluación de habilidades de modelado 3D publicadas en el portal de calificaciones.",spain_school
"Folleto adjunto de la fiesta de primavera para la recaudación de fondos: pintacaras, juegos y puestos de comida este sábado en el CEIP Francisco de Quevedo.",spain_school
"Ficha de seguimiento de la evolución de personajes calificada para los clubes de lectura de 4º de ESO, comentarios sobre el análisis del desarrollo de la trama incluidos.",spain_school
"Calificada la tarea de comprensión lectora de realizar conexiones, destrezas de pensamiento crítico demostradas con éxito en las respuestas de los alumnos.",spain_school
"Proyecto de creación de logotipo animado terminado durante los días de exámenes oficiales, pieza del porfolio de diseño gráfico finalmente concluida.",spain_school
"Informe semanal de notificaciones de Alexia para las tareas y entregas en la asignatura de Lengua Castellana y Literatura de 1º de ESO con el profesor Fernández.",spain_school
"Autorización para la unidad de exploración espacial de cara al visionado del documental sobre el Apolo en las clases de ciencias del instituto.",spain_school
"Ensayo de análisis del entorno calificado con rúbrica detallada, comprensión de los elementos literarios claramente demostrada por los estudiantes.",spain_school
"Lectura asignada de las páginas 75 a 89 de la novela El Dador de Recuerdos para el debate literario de mañana, preparad las notas del resumen del capítulo.",spain_school
"Lectura obligatoria del club de lectura para el viernes, páginas 45 a 62; preguntas sobre el desarrollo de personajes publicadas en el aula virtual.",spain_school
"Lectura obligatoria de la novela Rebeldes de los capítulos 39 al 51 terminada, debate sobre temas sociales programado para la próxima sesión de clase.",spain_school
"Ficha de seguimiento de temas creada para la unidad de debates literarios, el ejercicio de análisis de elementos simbólicos ya está disponible online.",spain_school
"Distribuida la evaluación de habilidades de vocabulario y resumen, la práctica de estrategias de comprensión lectora debe entregarse el próximo martes por la mañana.",spain_school
"Borrador final de la actividad de escritura de guiones calificado, técnicas de escritura creativa incorporadas con éxito en los libretos de los alumnos.",spain_school
"Resumen diario de notificaciones de la plataforma educativa del Colegio Sagrado Corazón, actualizaciones de tareas y notas publicadas ayer.",spain_school
"El coordinador de voluntarios de comedor busca ayudantes diarios para la supervisión del alumnado durante los turnos de comida de primaria.",spain_school
"Control de seguimiento completado para el proyecto de modelado 3D de iluminación pública, desarrollo de habilidades técnicas según lo previsto.",spain_school
"El evento de recaudación de fondos mediante subasta online comienza esta noche, pujad por los artículos donados para apoyar los programas del CEIP Benito Pérez Galdós.",spain_school
"Pautas tecnológicas de fin de curso para los alumnos que renuevan matrícula: haced una copia de seguridad de los archivos importantes antes de las vacaciones de verano.",spain_school
"Informe semanal del IES Carlos Bousoño para la semana que termina el 19 de abril, próximos eventos y anuncios oficiales.",spain_school
"Novelas para los debates literarios distribuidas para el segundo trimestre, elijan entre las opciones de fantasía, misterio o novela histórica.",spain_school
"Recordatorio del procedimiento de entrada para las familias del CEIP Antonio Machado, se deben respetar los protocolos de seguridad durante la hora punta de la mañana.",spain_school
"Confirmación de matrícula recibida para el curso académico 2025-26, proceso de inscripción completado con éxito para todos los alumnos.",spain_school
"El calendario de las pruebas diagnósticas comienza el lunes para la evaluación de lectura de 3º de Primaria, lleguen temprano y tomen un desayuno saludable.",spain_school
"Requisito de tarjeta de visitante para todos los invitados del campus, registro previo obligatorio a través del sistema de seguridad de la oficina principal.",spain_school
"Lista de tareas diarias publicada para la clase de Lengua de la profesora Martínez, se requiere lectura de la novela y completar la ficha de ejercicios.",spain_school
"Protocolo de campus seguro activado durante los periodos de exámenes oficiales de la Comunidad de Madrid, no se permiten interrupciones ni salidas anticipadas hoy.",spain_school
"Juego de repaso de conceptos de geometría disponible online, practicad el cálculo de áreas y perímetros para el próximo examen del viernes.",spain_school
"El boletín deportivo destaca los logros de los deportes de primavera, los equipos de atletismo pasan a la competición regional.",spain_school
